symbol,companyName,sector,industry,marketCap,oneYearReturnPct,cik,capital_need_score,cash_runway_component,leverage_component,capex_component,sector_component,active_unused_shelf,profitability_override,score_note,first_seen_date
ASLE,AerSale Corporation Common Stock,Consumer Discretionary,Industrial Specialties,268701676.0,-34.76,0001754170,72.2,1.0,1.0,0.15,0.25,True,False,,2026-08-30
KRUS,Kura Sushi USA Inc. Class A Common Stock,Consumer Discretionary,Restaurants,576631217.0,-44.04,0001772177,68.5,0.6,1.0,0.7,0.25,True,False,,2026-08-30
EYPT,EyePoint Inc. Common Stock,Industrials,Biotechnology: Laboratory Analytical Instruments,386230378.0,-61.28,0001314102,68.0,1.0,0.2,1.0,0.95,False,False,,2026-08-30
BRCB,Black Rock Coffee Bar Inc. Class A Common Stock,Consumer Discretionary,Restaurants,457163559.0,-66.84,0002068577,65.5,1.0,1.0,0.7,0.25,False,False,,2026-08-30
PLAY,Dave & Buster's Entertainment Inc. Common Stock,Consumer Discretionary,Restaurants,327013724.0,-63.38,0001525769,65.5,1.0,1.0,0.7,0.25,False,False,,2026-08-30
BTBT,Bit Digital Inc. Ordinary Shares,Finance,Finance: Consumer Services,515705909.0,-44.36,0001710350,64.0,1.0,0.7,1.0,0.25,False,False,,2026-08-30
YDES,YD Bio Limited Ordinary Shares,Health Care,Medical Specialities,339990461.0,-61.6,0002011674,63.5,0.85,0.2,1.0,0.95,False,False,,2026-08-30
GUTS,Fractyl Health Inc. Common Stock,Health Care,Medical/Dental Instruments,104899520.0,-32.13,0001572616,63.0,0.85,0.7,0.3,0.95,False,False,,2026-08-30
FWRG,First Watch Restaurant Group Inc. Common Stock,Consumer Discretionary,Restaurants,772022562.0,-33.6,0001789940,61.0,1.0,1.0,0.4,0.25,False,False,,2026-08-30
VITL,Vital Farms Inc. Common Stock,Consumer Staples,Packaged Foods,463231122.0,-78.88,0001579733,61.0,1.0,1.0,0.4,0.25,False,False,,2026-08-30
EVGO,EVgo Inc. Class A Common Stock,Consumer Discretionary,Automotive Aftermarket,434031694.0,-64.34,0001821159,59.5,0.85,0.7,1.0,0.25,False,False,,2026-08-30
KULR,KULR Technology Group Inc. Common Stock,Technology,Electrical Products,119403231.0,-45.11,0001662684,59.5,1.0,0.7,0.7,0.25,False,False,,2026-08-30
NEXT,NextDecade Corporation Common Stock,Utilities,Oil & Gas Production,1956462933.0,-31.44,0001612720,57.5,1.0,0.7,0.3,0.45,False,False,,2026-08-30
GETY,Getty Images Holdings Inc. Class A Common Stock,Consumer Discretionary,Business Services,105859845.0,-86.14,0001898496,57.2,1.0,1.0,0.15,0.25,False,False,,2026-08-30
QDEL,QuidelOrtho Corporation Common Stock,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,1010801794.0,-48.62,0001906324,56.8,0.85,1.0,0.15,0.45,False,False,,2026-08-30
PTLO,Portillo's Inc. Class A Common Stock,Consumer Discretionary,Restaurants,356933153.0,-33.62,0001871509,56.5,0.85,1.0,0.4,0.25,False,False,,2026-08-30
AMTX,Aemetis Inc. (DE) Common Stock,Industrials,Major Chemicals,134235445.0,-26.77,0000738214,55.0,1.0,0.7,0.4,0.25,False,False,,2026-08-30
BRSL,Brightstar Lottery PLC Trading under the Legal Name to begin at the market open on July 21 2025. Ordinary Shares,Consumer Discretionary,Services-Misc. Amusement & Recreation,2134665000.0,-25.27,0001619762,55.0,1.0,0.7,0.4,0.25,False,False,,2026-08-30
CHPT,ChargePoint Holdings Inc. Common Stock,Miscellaneous,Industrial Machinery/Components,144249805.0,-50.58,0001777393,54.2,0.6,0.7,0.15,0.25,True,False,,2026-08-30
ABTC,American Bitcoin Corp. Class A Common Stock,Finance,Finance: Consumer Services,559983593.0,-93.34,0001755953,53.5,1.0,0.7,0.3,0.25,False,False,,2026-08-30
